,ligand,receptor,pathway,ligand_annotation,TF
Col4a3|COMPLEX:Itga11_Itgb1,Col4a3,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col4a4|COMPLEX:Itga11_Itgb1,Col4a4,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col4a5|COMPLEX:Itga11_Itgb1,Col4a5,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col4a6|COMPLEX:Itga11_Itgb1,Col4a6,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col6a1|COMPLEX:Itga11_Itgb1,Col6a1,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col6a2|COMPLEX:Itga11_Itgb1,Col6a2,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col6a3|COMPLEX:Itga11_Itgb1,Col6a3,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col6a5|COMPLEX:Itga11_Itgb1,Col6a5,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col6a6|COMPLEX:Itga11_Itgb1,Col6a6,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col9a1|COMPLEX:Itga11_Itgb1,Col9a1,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col9a2|COMPLEX:Itga11_Itgb1,Col9a2,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col9a3|COMPLEX:Itga11_Itgb1,Col9a3,COMPLEX:Itga11_Itgb1,COLLAGEN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Col1a1|COMPLEX:Itgav_Itgb8,Col1a1,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col1a2|COMPLEX:Itgav_Itgb8,Col1a2,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col2a1|COMPLEX:Itgav_Itgb8,Col2a1,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a1|COMPLEX:Itgav_Itgb8,Col4a1,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a2|COMPLEX:Itgav_Itgb8,Col4a2,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a3|COMPLEX:Itgav_Itgb8,Col4a3,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a4|COMPLEX:Itgav_Itgb8,Col4a4,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a5|COMPLEX:Itgav_Itgb8,Col4a5,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col4a6|COMPLEX:Itgav_Itgb8,Col4a6,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col6a1|COMPLEX:Itgav_Itgb8,Col6a1,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col6a2|COMPLEX:Itgav_Itgb8,Col6a2,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col6a3|COMPLEX:Itgav_Itgb8,Col6a3,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col6a5|COMPLEX:Itgav_Itgb8,Col6a5,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col6a6|COMPLEX:Itgav_Itgb8,Col6a6,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col9a1|COMPLEX:Itgav_Itgb8,Col9a1,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col9a2|COMPLEX:Itgav_Itgb8,Col9a2,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col9a3|COMPLEX:Itgav_Itgb8,Col9a3,COMPLEX:Itgav_Itgb8,COLLAGEN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Col1a1|Cd44,Col1a1,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col1a2|Cd44,Col1a2,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col2a1|Cd44,Col2a1,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a1|Cd44,Col4a1,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a2|Cd44,Col4a2,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a3|Cd44,Col4a3,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a4|Cd44,Col4a4,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a5|Cd44,Col4a5,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col4a6|Cd44,Col4a6,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col6a1|Cd44,Col6a1,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col6a2|Cd44,Col6a2,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col6a3|Cd44,Col6a3,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col6a5|Cd44,Col6a5,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col6a6|Cd44,Col6a6,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col9a1|Cd44,Col9a1,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col9a2|Cd44,Col9a2,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col9a3|Cd44,Col9a3,Cd44,COLLAGEN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Col1a1|Sdc1,Col1a1,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col1a2|Sdc1,Col1a2,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col2a1|Sdc1,Col2a1,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a1|Sdc1,Col4a1,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a2|Sdc1,Col4a2,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a3|Sdc1,Col4a3,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a4|Sdc1,Col4a4,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a5|Sdc1,Col4a5,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col4a6|Sdc1,Col4a6,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col6a1|Sdc1,Col6a1,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col6a2|Sdc1,Col6a2,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col6a3|Sdc1,Col6a3,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col6a5|Sdc1,Col6a5,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col6a6|Sdc1,Col6a6,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col9a1|Sdc1,Col9a1,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col9a2|Sdc1,Col9a2,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col9a3|Sdc1,Col9a3,Sdc1,COLLAGEN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Col1a1|Sdc4,Col1a1,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col1a2|Sdc4,Col1a2,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col2a1|Sdc4,Col2a1,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a1|Sdc4,Col4a1,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a2|Sdc4,Col4a2,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a3|Sdc4,Col4a3,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a4|Sdc4,Col4a4,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a5|Sdc4,Col4a5,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Col4a6|Sdc4,Col4a6,Sdc4,COLLAGEN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
